run_date,obs_date,id,value,status
2026-07-28,2026-07-27,credit.hy_oas,2.81,quiet
2026-07-28,2026-07-27,credit.ccc_oas,10.01,quiet
2026-07-28,2026-07-27,credit.dispersion,7.2,quiet
2026-07-28,2026-07-27,credit.bbb_oas,1.0,quiet
2026-07-28,2026-07-27,credit.ig_oas,0.81,quiet
2026-07-28,2026-07-27,credit.ust10y,4.65,quiet
2026-07-29,2026-07-28,credit.hy_oas,2.84,quiet
2026-07-29,2026-07-28,credit.ccc_oas,10.05,quiet
2026-07-29,2026-07-28,credit.dispersion,7.21,quiet
2026-07-29,2026-07-28,credit.bbb_oas,1.0,quiet
2026-07-29,2026-07-28,credit.ig_oas,0.81,quiet
2026-07-29,2026-07-28,credit.ust10y,4.61,quiet
2026-07-30,2026-07-29,credit.hy_oas,2.87,quiet
2026-07-30,2026-07-29,credit.ccc_oas,10.13,quiet
2026-07-30,2026-07-29,credit.dispersion,7.26,quiet
2026-07-30,2026-07-29,credit.bbb_oas,1.0,quiet
2026-07-30,2026-07-29,credit.ig_oas,0.81,quiet
2026-07-30,2026-07-29,credit.ust10y,4.67,quiet
2026-07-31,2026-07-30,credit.hy_oas,2.84,quiet
2026-07-31,2026-07-30,credit.ccc_oas,10.06,quiet
2026-07-31,2026-07-30,credit.dispersion,7.22,quiet
2026-07-31,2026-07-30,credit.bbb_oas,0.99,quiet
2026-07-31,2026-07-30,credit.ig_oas,0.8,quiet
2026-07-31,2026-07-30,credit.ust10y,4.68,quiet
2026-08-03,2026-07-31,credit.ust10y,4.75,quiet
2026-08-04,2026-07-31,credit.hy_oas,2.85,quiet
2026-08-04,2026-07-31,credit.ccc_oas,10.34,quiet
2026-08-04,2026-07-31,credit.dispersion,7.49,quiet
2026-08-04,2026-07-31,credit.bbb_oas,0.99,quiet
2026-08-04,2026-07-31,credit.ig_oas,0.79,quiet
2026-08-04,2026-08-03,credit.hy_oas,2.78,quiet
2026-08-04,2026-08-03,credit.ccc_oas,10.28,quiet
2026-08-04,2026-08-03,credit.dispersion,7.5,quiet
2026-08-04,2026-08-03,credit.bbb_oas,0.97,quiet
2026-08-04,2026-08-03,credit.ig_oas,0.78,quiet
2026-08-04,2026-08-03,credit.ust10y,4.7,quiet
2026-08-05,2026-08-04,credit.hy_oas,2.73,quiet
2026-08-05,2026-08-04,credit.ccc_oas,10.19,quiet
2026-08-05,2026-08-04,credit.dispersion,7.46,quiet
2026-08-05,2026-08-04,credit.bbb_oas,0.97,quiet
2026-08-05,2026-08-04,credit.ig_oas,0.78,quiet
2026-08-05,2026-08-04,credit.ust10y,4.63,quiet
2026-08-07,2026-08-05,credit.hy_oas,2.75,quiet
2026-08-07,2026-08-05,credit.ccc_oas,10.23,quiet
2026-08-07,2026-08-05,credit.dispersion,7.48,quiet
2026-08-07,2026-08-05,credit.bbb_oas,0.96,quiet
2026-08-07,2026-08-05,credit.ig_oas,0.78,quiet
2026-08-07,2026-08-05,credit.ust10y,4.63,quiet
2026-08-07,2026-08-06,credit.hy_oas,2.71,quiet
2026-08-07,2026-08-06,credit.ccc_oas,10.17,quiet
2026-08-07,2026-08-06,credit.dispersion,7.46,quiet
2026-08-07,2026-08-06,credit.bbb_oas,0.97,quiet
2026-08-07,2026-08-06,credit.ig_oas,0.78,quiet
2026-08-07,2026-08-06,credit.ust10y,4.69,quiet
2026-08-10,2026-08-07,credit.hy_oas,2.7,quiet
2026-08-10,2026-08-07,credit.ccc_oas,10.13,quiet
2026-08-10,2026-08-07,credit.dispersion,7.43,quiet
2026-08-10,2026-08-07,credit.bbb_oas,0.97,quiet
2026-08-10,2026-08-07,credit.ig_oas,0.78,quiet
2026-08-10,2026-08-07,credit.ust10y,4.65,quiet
2026-08-11,2026-08-10,credit.hy_oas,2.7,quiet
2026-08-11,2026-08-10,credit.ccc_oas,10.14,quiet
2026-08-11,2026-08-10,credit.dispersion,7.44,quiet
2026-08-11,2026-08-10,credit.bbb_oas,0.97,quiet
2026-08-11,2026-08-10,credit.ig_oas,0.78,quiet
2026-08-11,2026-08-10,credit.ust10y,4.72,quiet
2026-08-12,2026-08-11,credit.hy_oas,2.72,quiet
2026-08-12,2026-08-11,credit.ccc_oas,10.23,quiet
2026-08-12,2026-08-11,credit.dispersion,7.51,quiet
2026-08-12,2026-08-11,credit.bbb_oas,0.98,quiet
2026-08-12,2026-08-11,credit.ig_oas,0.79,quiet
2026-08-12,2026-08-11,credit.ust10y,4.7,quiet
2026-08-13,2026-08-12,credit.hy_oas,2.71,quiet
2026-08-13,2026-08-12,credit.ccc_oas,10.2,quiet
